objectid,nombre,direccion,tipozona,tipoemision,so2,no2,o3,co,pm10,pm25,fecha_carga,calidad_ambiental
26,Pista de Silla,"C/ Filipinas, s/n",Urbana,Tráfico,0,10,71,0.7,8,3,2024-05-24T20:20:06+00:00,Razonablemente Buena
28,Viveros,Jardines de Viveros,Urbana,Fondo,0,5,88,N/A,N/A,N/A,2024-05-24T20:20:08+00:00,Razonablemente Buena
431,Olivereta,Av. del Cid amb Av. de les Tres Creus,Urbana,Tráfico,N/A,24,N/A,N/A,20,11,2024-05-24T20:20:11+00:00,Razonablemente Buena
432,Patraix,"Archiduque Carlos, 84ac",Urbana,Tráfico,N/A,15,N/A,N/A,20,11,2024-05-24T20:20:12+00:00,Razonablemente Buena
23,Francia,"Avda. de Francia, 60",Urbana,Tráfico,1,3,82,0.1,9,6,2024-05-24T20:20:04+00:00,Razonablemente Buena
27,Universidad Politécnica,Campus de la U. Politécnica. Avda. Tarongers,Suburbana,Fondo,2,3,82,N/A,17,13,2024-05-24T20:20:07+00:00,Razonablemente Buena
430,Dr. Lluch,"Calle Dr. Lluch, 48",Urbana,Tráfico,N/A,3,N/A,N/A,23,9,2024-05-24T20:20:10+00:00,Razonablemente Buena
829,Cabanyal,"Carrer del Progrés, 379",Urbana,Fondo,N/A,4,N/A,N/A,N/A,N/A,2024-05-24T20:20:11+00:00,Razonablemente Buena
24,Boulevar Sur,Avda. Tres Cruces s/n (Parking Cementerio de Valencia),Urbana,Tráfico,1,5,83,N/A,N/A,N/A,2024-05-24T20:20:05+00:00,Razonablemente Buena
25,Molí del Sol,Avda. Pío Baroja - Avda. General Avilés,Suburbana,Tráfico,4,6,76,0.3,7,5,2024-05-24T20:20:05+00:00,Razonablemente Buena
22,Centro,Plaza Ayuntamiento,Urbana,Tráfico,N/A,8,N/A,N/A,15,8,2024-05-24T20:20:09+00:00,Buena
25,Molí del Sol,Avda. Pío Baroja - Avda. General Avilés,Suburbana,Tráfico,4,5,77,0.3,7,5,2024-05-24T23:20:06+00:00,Razonablemente Buena
22,Centro,Plaza Ayuntamiento,Urbana,Tráfico,N/A,9,N/A,N/A,15,8,2024-05-24T23:20:10+00:00,Buena
431,Olivereta,Av. del Cid amb Av. de les Tres Creus,Urbana,Tráfico,N/A,18,N/A,N/A,20,11,2024-05-24T23:20:12+00:00,Razonablemente Buena
432,Patraix,"Archiduque Carlos, 84ac",Urbana,Tráfico,N/A,10,N/A,N/A,20,11,2024-05-24T23:20:13+00:00,Razonablemente Buena
26,Pista de Silla,"C/ Filipinas, s/n",Urbana,Tráfico,0,4,73,0.7,8,3,2024-05-24T23:20:07+00:00,Razonablemente Buena
27,Universidad Politécnica,Campus de la U. Politécnica. Avda. Tarongers,Suburbana,Fondo,2,3,82,N/A,17,13,2024-05-24T23:20:08+00:00,Razonablemente Buena
430,Dr. Lluch,"Calle Dr. Lluch, 48",Urbana,Tráfico,N/A,4,N/A,N/A,24,9,2024-05-24T23:20:11+00:00,Razonablemente Buena
23,Francia,"Avda. de Francia, 60",Urbana,Tráfico,1,3,82,0.1,9,6,2024-05-24T23:20:05+00:00,Razonablemente Buena
24,Boulevar Sur,Avda. Tres Cruces s/n (Parking Cementerio de Valencia),Urbana,Tráfico,1,5,83,N/A,N/A,N/A,2024-05-24T23:20:05+00:00,Razonablemente Buena
28,Viveros,Jardines de Viveros,Urbana,Fondo,0,5,88,N/A,N/A,N/A,2024-05-24T23:20:09+00:00,Razonablemente Buena
829,Cabanyal,"Carrer del Progrés, 379",Urbana,Fondo,N/A,4,N/A,N/A,N/A,N/A,2024-05-24T23:20:11+00:00,Razonablemente Buena
25,Molí del Sol,Avda. Pío Baroja - Avda. General Avilés,Suburbana,Tráfico,4,4,78,0.3,7,5,2024-05-25T00:20:05+00:00,Razonablemente Buena
27,Universidad Politécnica,Campus de la U. Politécnica. Avda. Tarongers,Suburbana,Fondo,2,3,82,N/A,18,13,2024-05-25T00:20:08+00:00,Razonablemente Buena
430,Dr. Lluch,"Calle Dr. Lluch, 48",Urbana,Tráfico,N/A,1,N/A,N/A,24,9,2024-05-25T00:20:10+00:00,Razonablemente Buena
829,Cabanyal,"Carrer del Progrés, 379",Urbana,Fondo,N/A,3,N/A,N/A,N/A,N/A,2024-05-25T00:20:11+00:00,Razonablemente Buena
23,Francia,"Avda. de Francia, 60",Urbana,Tráfico,1,3,82,0.1,9,6,2024-05-25T00:20:04+00:00,Razonablemente Buena
24,Boulevar Sur,Avda. Tres Cruces s/n (Parking Cementerio de Valencia),Urbana,Tráfico,2,4,83,N/A,N/A,N/A,2024-05-25T00:20:04+00:00,Razonablemente Buena
26,Pista de Silla,"C/ Filipinas, s/n",Urbana,Tráfico,0,4,75,0.7,8,3,2024-05-25T00:20:06+00:00,Razonablemente Buena
28,Viveros,Jardines de Viveros,Urbana,Fondo,0,6,88,N/A,N/A,N/A,2024-05-25T00:20:09+00:00,Razonablemente Buena
22,Centro,Plaza Ayuntamiento,Urbana,Tráfico,N/A,10,N/A,N/A,15,8,2024-05-25T00:20:10+00:00,Buena
431,Olivereta,Av. del Cid amb Av. de les Tres Creus,Urbana,Tráfico,N/A,13,N/A,N/A,20,11,2024-05-25T00:20:11+00:00,Razonablemente Buena
432,Patraix,"Archiduque Carlos, 84ac",Urbana,Tráfico,N/A,9,N/A,N/A,20,11,2024-05-25T00:20:12+00:00,Razonablemente Buena
23,Francia,"Avda. de Francia, 60",Urbana,Tráfico,1,3,81,0.1,9,6,2024-05-25T01:20:04+00:00,Razonablemente Buena
27,Universidad Politécnica,Campus de la U. Politécnica. Avda. Tarongers,Suburbana,Fondo,2,3,83,N/A,18,14,2024-05-25T01:20:08+00:00,Razonablemente Buena
28,Viveros,Jardines de Viveros,Urbana,Fondo,0,7,87,N/A,N/A,N/A,2024-05-25T01:20:09+00:00,Razonablemente Buena
430,Dr. Lluch,"Calle Dr. Lluch, 48",Urbana,Tráfico,N/A,0,N/A,N/A,24,10,2024-05-25T01:20:10+00:00,Razonablemente Buena
829,Cabanyal,"Carrer del Progrés, 379",Urbana,Fondo,N/A,3,N/A,N/A,N/A,N/A,2024-05-25T01:20:11+00:00,Razonablemente Buena
431,Olivereta,Av. del Cid amb Av. de les Tres Creus,Urbana,Tráfico,N/A,12,N/A,N/A,20,11,2024-05-25T01:20:12+00:00,Razonablemente Buena
24,Boulevar Sur,Avda. Tres Cruces s/n (Parking Cementerio de Valencia),Urbana,Tráfico,2,4,83,N/A,N/A,N/A,2024-05-25T01:20:05+00:00,Razonablemente Buena
26,Pista de Silla,"C/ Filipinas, s/n",Urbana,Tráfico,0,4,77,0.7,8,3,2024-05-25T01:20:06+00:00,Razonablemente Buena
22,Centro,Plaza Ayuntamiento,Urbana,Tráfico,N/A,7,N/A,N/A,15,8,2024-05-25T01:20:10+00:00,Buena
432,Patraix,"Archiduque Carlos, 84ac",Urbana,Tráfico,N/A,7,N/A,N/A,20,11,2024-05-25T01:20:12+00:00,Razonablemente Buena
25,Molí del Sol,Avda. Pío Baroja - Avda. General Avilés,Suburbana,Tráfico,4,4,78,0.3,7,5,2024-05-25T01:20:06+00:00,Razonablemente Buena
23,Francia,"Avda. de Francia, 60",Urbana,Tráfico,1,3,81,0.1,9,6,2024-05-25T02:20:06+00:00,Razonablemente Buena
27,Universidad Politécnica,Campus de la U. Politécnica. Avda. Tarongers,Suburbana,Fondo,2,3,83,N/A,18,14,2024-05-25T02:20:09+00:00,Razonablemente Buena
430,Dr. Lluch,"Calle Dr. Lluch, 48",Urbana,Tráfico,N/A,1,N/A,N/A,25,10,2024-05-25T02:20:12+00:00,Razonablemente Buena
829,Cabanyal,"Carrer del Progrés, 379",Urbana,Fondo,N/A,2,N/A,N/A,N/A,N/A,2024-05-25T02:20:12+00:00,Razonablemente Buena
431,Olivereta,Av. del Cid amb Av. de les Tres Creus,Urbana,Tráfico,N/A,12,N/A,N/A,21,11,2024-05-25T02:20:13+00:00,Razonablemente Buena
432,Patraix,"Archiduque Carlos, 84ac",Urbana,Tráfico,N/A,5,N/A,N/A,20,11,2024-05-25T02:20:14+00:00,Razonablemente Buena
25,Molí del Sol,Avda. Pío Baroja - Avda. General Avilés,Suburbana,Tráfico,4,4,77,0.3,7,5,2024-05-25T02:20:07+00:00,Razonablemente Buena
26,Pista de Silla,"C/ Filipinas, s/n",Urbana,Tráfico,0,4,79,0.7,8,3,2024-05-25T02:20:08+00:00,Razonablemente Buena
28,Viveros,Jardines de Viveros,Urbana,Fondo,1,4,86,N/A,N/A,N/A,2024-05-25T02:20:10+00:00,Razonablemente Buena
22,Centro,Plaza Ayuntamiento,Urbana,Tráfico,N/A,6,N/A,N/A,16,8,2024-05-25T02:20:11+00:00,Buena
24,Boulevar Sur,Avda. Tres Cruces s/n (Parking Cementerio de Valencia),Urbana,Tráfico,2,4,84,N/A,N/A,N/A,2024-05-25T02:20:06+00:00,Razonablemente Buena
22,Centro,Plaza Ayuntamiento,Urbana,Tráfico,N/A,7,N/A,N/A,16,8,2024-05-25T03:20:10+00:00,Buena
829,Cabanyal,"Carrer del Progrés, 379",Urbana,Fondo,N/A,3,N/A,N/A,N/A,N/A,2024-05-25T03:20:11+00:00,Razonablemente Buena
432,Patraix,"Archiduque Carlos, 84ac",Urbana,Tráfico,N/A,6,N/A,N/A,20,11,2024-05-25T03:20:13+00:00,Razonablemente Buena
24,Boulevar Sur,Avda. Tres Cruces s/n (Parking Cementerio de Valencia),Urbana,Tráfico,2,4,84,N/A,N/A,N/A,2024-05-25T03:20:05+00:00,Razonablemente Buena
28,Viveros,Jardines de Viveros,Urbana,Fondo,0,5,85,N/A,N/A,N/A,2024-05-25T03:20:09+00:00,Razonablemente Buena
431,Olivereta,Av. del Cid amb Av. de les Tres Creus,Urbana,Tráfico,N/A,11,N/A,N/A,21,11,2024-05-25T03:20:12+00:00,Razonablemente Buena
23,Francia,"Avda. de Francia, 60",Urbana,Tráfico,0,3,81,0.1,9,6,2024-05-25T03:20:04+00:00,Razonablemente Buena
25,Molí del Sol,Avda. Pío Baroja - Avda. General Avilés,Suburbana,Tráfico,4,4,76,0.3,7,6,2024-05-25T03:20:06+00:00,Razonablemente Buena
26,Pista de Silla,"C/ Filipinas, s/n",Urbana,Tráfico,0,3,81,0.7,8,3,2024-05-25T03:20:07+00:00,Razonablemente Buena
27,Universidad Politécnica,Campus de la U. Politécnica. Avda. Tarongers,Suburbana,Fondo,2,3,81,N/A,18,13,2024-05-25T03:20:08+00:00,Razonablemente Buena
430,Dr. Lluch,"Calle Dr. Lluch, 48",Urbana,Tráfico,N/A,0,N/A,N/A,25,10,2024-05-25T03:20:11+00:00,Razonablemente Buena
24,Boulevar Sur,Avda. Tres Cruces s/n (Parking Cementerio de Valencia),Urbana,Tráfico,2,4,81,N/A,N/A,N/A,2024-05-25T05:20:07+00:00,Razonablemente Buena
27,Universidad Politécnica,Campus de la U. Politécnica. Avda. Tarongers,Suburbana,Fondo,2,3,76,N/A,17,13,2024-05-25T05:20:10+00:00,Razonablemente Buena
28,Viveros,Jardines de Viveros,Urbana,Fondo,0,7,80,N/A,N/A,N/A,2024-05-25T05:20:11+00:00,Razonablemente Buena
22,Centro,Plaza Ayuntamiento,Urbana,Tráfico,N/A,7,N/A,N/A,15,8,2024-05-25T05:20:12+00:00,Buena
432,Patraix,"Archiduque Carlos, 84ac",Urbana,Tráfico,N/A,10,N/A,N/A,20,10,2024-05-25T05:20:15+00:00,Buena
25,Molí del Sol,Avda. Pío Baroja - Avda. General Avilés,Suburbana,Tráfico,4,11,69,0.3,7,6,2024-05-25T05:20:08+00:00,Razonablemente Buena
430,Dr. Lluch,"Calle Dr. Lluch, 48",Urbana,Tráfico,N/A,2,N/A,N/A,25,9,2024-05-25T05:20:12+00:00,Razonablemente Buena
23,Francia,"Avda. de Francia, 60",Urbana,Tráfico,0,3,78,0.1,7,5,2024-05-25T05:20:06+00:00,Razonablemente Buena
26,Pista de Silla,"C/ Filipinas, s/n",Urbana,Tráfico,0,3,82,0.7,7,2,2024-05-25T05:20:09+00:00,Razonablemente Buena
829,Cabanyal,"Carrer del Progrés, 379",Urbana,Fondo,N/A,7,N/A,N/A,N/A,N/A,2024-05-25T05:20:13+00:00,Razonablemente Buena
431,Olivereta,Av. del Cid amb Av. de les Tres Creus,Urbana,Tráfico,N/A,13,N/A,N/A,21,11,2024-05-25T05:20:14+00:00,Razonablemente Buena
24,Boulevar Sur,Avda. Tres Cruces s/n (Parking Cementerio de Valencia),Urbana,Tráfico,2,6,77,N/A,N/A,N/A,2024-05-25T06:20:07+00:00,Razonablemente Buena
431,Olivereta,Av. del Cid amb Av. de les Tres Creus,Urbana,Tráfico,N/A,14,N/A,N/A,21,10,2024-05-25T06:20:15+00:00,Razonablemente Buena
23,Francia,"Avda. de Francia, 60",Urbana,Tráfico,0,3,76,0.1,7,5,2024-05-25T06:20:06+00:00,Razonablemente Buena
25,Molí del Sol,Avda. Pío Baroja - Avda. General Avilés,Suburbana,Tráfico,4,16,63,0.3,7,6,2024-05-25T06:20:08+00:00,Razonablemente Buena
26,Pista de Silla,"C/ Filipinas, s/n",Urbana,Tráfico,0,4,80,0.7,7,2,2024-05-25T06:20:09+00:00,Razonablemente Buena
27,Universidad Politécnica,Campus de la U. Politécnica. Avda. Tarongers,Suburbana,Fondo,2,3,72,N/A,17,13,2024-05-25T06:20:10+00:00,Razonablemente Buena
28,Viveros,Jardines de Viveros,Urbana,Fondo,0,9,77,N/A,N/A,N/A,2024-05-25T06:20:11+00:00,Razonablemente Buena
22,Centro,Plaza Ayuntamiento,Urbana,Tráfico,N/A,9,N/A,N/A,15,8,2024-05-25T06:20:13+00:00,Buena
430,Dr. Lluch,"Calle Dr. Lluch, 48",Urbana,Tráfico,N/A,1,N/A,N/A,25,9,2024-05-25T06:20:13+00:00,Razonablemente Buena
829,Cabanyal,"Carrer del Progrés, 379",Urbana,Fondo,N/A,5,N/A,N/A,N/A,N/A,2024-05-25T06:20:14+00:00,Razonablemente Buena
432,Patraix,"Archiduque Carlos, 84ac",Urbana,Tráfico,N/A,13,N/A,N/A,20,10,2024-05-25T06:20:16+00:00,Buena
26,Pista de Silla,"C/ Filipinas, s/n",Urbana,Tráfico,0,9,75,0.7,7,2,2024-05-25T07:20:06+00:00,Razonablemente Buena
28,Viveros,Jardines de Viveros,Urbana,Fondo,0,12,72,N/A,N/A,N/A,2024-05-25T07:20:09+00:00,Razonablemente Buena
23,Francia,"Avda. de Francia, 60",Urbana,Tráfico,0,3,72,0.1,7,4,2024-05-25T07:20:04+00:00,Razonablemente Buena
27,Universidad Politécnica,Campus de la U. Politécnica. Avda. Tarongers,Suburbana,Fondo,2,3,67,N/A,17,12,2024-05-25T07:20:08+00:00,Razonablemente Buena
22,Centro,Plaza Ayuntamiento,Urbana,Tráfico,N/A,11,N/A,N/A,15,8,2024-05-25T07:20:10+00:00,Buena
432,Patraix,"Archiduque Carlos, 84ac",Urbana,Tráfico,N/A,17,N/A,N/A,20,10,2024-05-25T07:20:12+00:00,Buena
24,Boulevar Sur,Avda. Tres Cruces s/n (Parking Cementerio de Valencia),Urbana,Tráfico,2,6,71,N/A,N/A,N/A,2024-05-25T07:20:05+00:00,Razonablemente Buena
25,Molí del Sol,Avda. Pío Baroja - Avda. General Avilés,Suburbana,Tráfico,4,15,57,0.3,7,6,2024-05-25T07:20:05+00:00,Razonablemente Buena
430,Dr. Lluch,"Calle Dr. Lluch, 48",Urbana,Tráfico,N/A,3,N/A,N/A,25,9,2024-05-25T07:20:10+00:00,Razonablemente Buena
829,Cabanyal,"Carrer del Progrés, 379",Urbana,Fondo,N/A,8,N/A,N/A,N/A,N/A,2024-05-25T07:20:11+00:00,Razonablemente Buena
431,Olivereta,Av. del Cid amb Av. de les Tres Creus,Urbana,Tráfico,N/A,22,N/A,N/A,20,10,2024-05-25T07:20:11+00:00,Buena
27,Universidad Politécnica,Campus de la U. Politécnica. Avda. Tarongers,Suburbana,Fondo,2,3,64,N/A,17,12,2024-05-25T08:20:07+00:00,Razonablemente Buena
28,Viveros,Jardines de Viveros,Urbana,Fondo,0,16,66,N/A,N/A,N/A,2024-05-25T08:20:08+00:00,Razonablemente Buena
24,Boulevar Sur,Avda. Tres Cruces s/n (Parking Cementerio de Valencia),Urbana,Tráfico,2,19,64,N/A,N/A,N/A,2024-05-25T08:20:04+00:00,Razonablemente Buena
22,Centro,Plaza Ayuntamiento,Urbana,Tráfico,N/A,13,N/A,N/A,15,8,2024-05-25T08:20:09+00:00,Buena
430,Dr. Lluch,"Calle Dr. Lluch, 48",Urbana,Tráfico,N/A,7,N/A,N/A,24,9,2024-05-25T08:20:10+00:00,Razonablemente Buena
829,Cabanyal,"Carrer del Progrés, 379",Urbana,Fondo,N/A,12,N/A,N/A,N/A,N/A,2024-05-25T08:20:10+00:00,Razonablemente Buena
23,Francia,"Avda. de Francia, 60",Urbana,Tráfico,0,3,68,0.1,7,4,2024-05-25T08:20:04+00:00,Razonablemente Buena
25,Molí del Sol,Avda. Pío Baroja - Avda. General Avilés,Suburbana,Tráfico,4,19,50,0.3,7,6,2024-05-25T08:20:05+00:00,Buena
26,Pista de Silla,"C/ Filipinas, s/n",Urbana,Tráfico,0,8,70,0.7,7,2,2024-05-25T08:20:06+00:00,Razonablemente Buena
431,Olivereta,Av. del Cid amb Av. de les Tres Creus,Urbana,Tráfico,N/A,24,N/A,N/A,20,10,2024-05-25T08:20:11+00:00,Buena
432,Patraix,"Archiduque Carlos, 84ac",Urbana,Tráfico,N/A,27,N/A,N/A,19,10,2024-05-25T08:20:11+00:00,Buena
25,Molí del Sol,Avda. Pío Baroja - Avda. General Avilés,Suburbana,Tráfico,4,14,46,0.3,6,5,2024-05-25T09:20:05+00:00,Buena
26,Pista de Silla,"C/ Filipinas, s/n",Urbana,Tráfico,0,13,66,0.7,7,2,2024-05-25T09:20:06+00:00,Razonablemente Buena
27,Universidad Politécnica,Campus de la U. Politécnica. Avda. Tarongers,Suburbana,Fondo,2,3,61,N/A,17,12,2024-05-25T09:20:07+00:00,Razonablemente Buena
430,Dr. Lluch,"Calle Dr. Lluch, 48",Urbana,Tráfico,N/A,10,N/A,N/A,24,9,2024-05-25T09:20:11+00:00,Razonablemente Buena
829,Cabanyal,"Carrer del Progrés, 379",Urbana,Fondo,N/A,10,N/A,N/A,N/A,N/A,2024-05-25T09:20:12+00:00,Razonablemente Buena
432,Patraix,"Archiduque Carlos, 84ac",Urbana,Tráfico,N/A,30,N/A,N/A,18,10,2024-05-25T09:20:13+00:00,Buena
28,Viveros,Jardines de Viveros,Urbana,Fondo,0,18,63,N/A,N/A,N/A,2024-05-25T09:20:08+00:00,Razonablemente Buena
22,Centro,Plaza Ayuntamiento,Urbana,Tráfico,N/A,15,N/A,N/A,15,7,2024-05-25T09:20:09+00:00,Buena
23,Francia,"Avda. de Francia, 60",Urbana,Tráfico,0,3,65,0.1,6,4,2024-05-25T09:20:04+00:00,Razonablemente Buena
24,Boulevar Sur,Avda. Tres Cruces s/n (Parking Cementerio de Valencia),Urbana,Tráfico,2,11,57,N/A,N/A,N/A,2024-05-25T09:20:04+00:00,Razonablemente Buena
431,Olivereta,Av. del Cid amb Av. de les Tres Creus,Urbana,Tráfico,N/A,24,N/A,N/A,19,9,2024-05-25T09:20:12+00:00,Buena
25,Molí del Sol,Avda. Pío Baroja - Avda. General Avilés,Suburbana,Tráfico,4,9,46,0.3,6,5,2024-05-25T10:20:06+00:00,Buena
22,Centro,Plaza Ayuntamiento,Urbana,Tráfico,N/A,14,N/A,N/A,14,7,2024-05-25T10:20:09+00:00,Buena
829,Cabanyal,"Carrer del Progrés, 379",Urbana,Fondo,N/A,9,N/A,N/A,N/A,N/A,2024-05-25T10:20:11+00:00,Razonablemente Buena
431,Olivereta,Av. del Cid amb Av. de les Tres Creus,Urbana,Tráfico,N/A,24,N/A,N/A,19,9,2024-05-25T10:20:11+00:00,Buena
26,Pista de Silla,"C/ Filipinas, s/n",Urbana,Tráfico,0,8,64,0.7,7,2,2024-05-25T10:20:06+00:00,Razonablemente Buena
27,Universidad Politécnica,Campus de la U. Politécnica. Avda. Tarongers,Suburbana,Fondo,2,3,59,N/A,17,12,2024-05-25T10:20:07+00:00,Razonablemente Buena
28,Viveros,Jardines de Viveros,Urbana,Fondo,1,13,61,N/A,N/A,N/A,2024-05-25T10:20:08+00:00,Razonablemente Buena
430,Dr. Lluch,"Calle Dr. Lluch, 48",Urbana,Tráfico,N/A,13,N/A,N/A,24,9,2024-05-25T10:20:10+00:00,Razonablemente Buena
23,Francia,"Avda. de Francia, 60",Urbana,Tráfico,1,3,63,0.1,6,4,2024-05-25T10:20:04+00:00,Razonablemente Buena
24,Boulevar Sur,Avda. Tres Cruces s/n (Parking Cementerio de Valencia),Urbana,Tráfico,1,4,55,N/A,N/A,N/A,2024-05-25T10:20:05+00:00,Razonablemente Buena
432,Patraix,"Archiduque Carlos, 84ac",Urbana,Tráfico,N/A,21,N/A,N/A,18,10,2024-05-25T10:20:12+00:00,Buena
28,Viveros,Jardines de Viveros,Urbana,Fondo,1,12,62,N/A,N/A,N/A,2024-05-25T11:20:11+00:00,Razonablemente Buena
22,Centro,Plaza Ayuntamiento,Urbana,Tráfico,N/A,10,N/A,N/A,14,7,2024-05-25T11:20:11+00:00,Buena
432,Patraix,"Archiduque Carlos, 84ac",Urbana,Tráfico,N/A,14,N/A,N/A,18,10,2024-05-25T11:20:15+00:00,Buena
