area;ciudad;conglomerado;panelm;vivienda;hogar;vi01;vi02;vi03a;vi03b;vi04a;vi04b;vi05a;vi05b;vi06;vi07;vi07a;vi07b;vi08;vi09;vi09a;vi09b;vi10;vi101;vi102;vi10a;vi11;vi12;vi13;vi14;vi141;vi142;vi143;vi144;vi1511;vi1521;vi1512;vi1522;vi1531;vi1541;vi1532;vi1542;vi1533;vi1543;vi1534;vi1544;vi1535;vi1545;vi1536;vi1546;estrato;fexp;upm;id_vivienda;id_hogar;periodo
1;10150;000401;053;01;1;1;2;2;2;2;2;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;200; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2712;112,212282277824;010150000401;01015000040105301;010150000401053011;202401
1;10150;000401;053;03;1;1;1;2;2;2;2;1;2;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;4;250; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2712;112,212282277824;010150000401;01015000040105303;010150000401053031;202401
1;10150;000401;053;05;1;1;1;2;2;2;2;1;2;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;200; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2712;112,212282277824;010150000401;01015000040105305;010150000401053051;202401
1;10150;000401;053;08;1;1;2;1;2;1;2;1;2;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;200; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2712;112,212282277824;010150000401;01015000040105308;010150000401053081;202401
1;10150;000401;053;09;1;1;2;2;2;1;1;1;2;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;5;150; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2712;112,212282277824;010150000401;01015000040105309;010150000401053091;202401
1;10150;000401;053;10;1;1;1;2;2;2;2;1;1;7;6;0;1;1;1; ; ;1; ; ;1;1;1;2;1;200;2;2;2;1;1;2; ;2; ;2; ;2; ;1;50;2; ;2; ;2712;112,212282277824;010150000401;01015000040105310;010150000401053101;202401
1;10150;001101;028;01;1;1;2;1;1;2;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;1;200;2;2;2;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2713;614,128995584658;010150001101;01015000110102801;010150001101028011;202401
1;10150;001101;028;02;1;1;2;1;1;2;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;1;240;2;2;2;1;1;2; ;2; ;2; ;1;50;2; ;2; ;2; ;2713;614,128995584658;010150001101;01015000110102802;010150001101028021;202401
1;10150;001101;028;03;1;1;2;1;2;4;2;1;2;2;2;0;1;1;1; ; ;1; ; ;1;1;1;2;1;150;2;2;2;1;1;2; ;2; ;2; ;2; ;1;20;2; ;2; ;2713;614,128995584658;010150001101;01015000110102803;010150001101028031;202401
1;10150;001101;028;04;1;1;2;1;1;2;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;1;160;2;2;2;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2713;614,128995584658;010150001101;01015000110102804;010150001101028041;202401
1;10150;001101;028;05;1;1;2;4;1;2;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;1;190;2;2;2;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2713;614,128995584658;010150001101;01015000110102805;010150001101028051;202401
1;10150;001101;028;06;1;1;1;2;2;2;2;1;2;6;5;0;1;1;1; ; ;1; ; ;1;1;1;2;4;250; ; ; ;1;1;2; ;2; ;2; ;2; ;1;50;2; ;2; ;2713;614,128995584658;010150001101;01015000110102806;010150001101028061;202401
1;10150;001101;028;07;1;1;2;2;2;2;2;1;2;3;2;0;1;1;1; ; ;1; ; ;1;1;1;1;4;250; ; ; ;1;1;2; ;2; ;2; ;2; ;1;80;2; ;2; ;2713;614,128995584658;010150001101;01015000110102807;010150001101028071;202401
1;10150;001307;037;01;1;3;5;3;2;4;2;4;3;1;1;0;2;1;1; ; ;1; ; ;2;2;1;2;5;80; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2713;207,195897711401;010150001307;01015000130703701;010150001307037011;202401
1;10150;001307;037;02;1;1;1;2;2;1;1;1;1;6;5;0;1;1;1; ; ;1; ; ;1;1;1;2;4;300; ; ; ;1;1;2; ;2; ;2; ;2; ;1;100;2; ;2; ;2713;207,195897711401;010150001307;01015000130703702;010150001307037021;202401
1;10150;001307;037;03;1;1;1;4;2;4;2;3;2;3;2;1;1;1;1; ; ;1; ; ;1;1;1;2;4;150; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2713;207,195897711401;010150001307;01015000130703703;010150001307037031;202401
1;10150;001307;037;04;1;1;2;3;1;1;1;1;1;2;1;0;1;1;1; ; ;1; ; ;1;1;1;2;1;80;1;1;2;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2713;207,195897711401;010150001307;01015000130703704;010150001307037041;202401
