area;ciudad;conglomerado;panelm;vivienda;hogar;vi01;vi02;vi03a;vi03b;vi04a;vi04b;vi05a;vi05b;vi06;vi07;vi07a;vi07b;vi08;vi09;vi09a;vi09b;vi10;vi101;vi102;vi10a;vi11;vi12;vi13;vi14;vi141;vi142;vi143;vi144;vi1511;vi1521;vi1512;vi1522;vi1531;vi1541;vi1532;vi1542;vi1533;vi1543;vi1534;vi1544;vi1535;vi1545;vi1536;vi1546;estrato;fexp;upm;id_vivienda;id_hogar;periodo
1;10150;000401;053;01;1;1;2;2;2;1;2;1;2;5;4;0;1;1;1; ; ;1; ; ;1;1;1;2;4;150; ; ; ;1;1;2; ;2; ;2; ;2; ;1;30;2; ;2; ;2712;102,325974101822;010150000401;01015000040105301;010150000401053011;202404
1;10150;000401;053;03;1;1;1;2;2;1;2;1;2;4;2;0;1;1;1; ; ;1; ; ;1;1;1;2;4;200; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2712;102,325974101822;010150000401;01015000040105303;010150000401053031;202404
1;10150;000401;053;04;1;1;1;2;1;2;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;300; ; ; ;1;1;2; ;2; ;2; ;2; ;1;40;2; ;2; ;2712;102,325974101822;010150000401;01015000040105304;010150000401053041;202404
1;10150;000401;053;05;1;1;1;2;1;2;1;1;1;5;3;0;1;1;1; ; ;1; ; ;1;1;1;2;5;400; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2712;102,325974101822;010150000401;01015000040105305;010150000401053051;202404
1;10150;000401;053;06;1;1;2;1;2;1;2;1;2;2;1;0;1;1;1; ; ;1; ; ;1;1;1;2;4;200; ; ; ;1;1;2; ;2; ;2; ;1;30;2; ;2; ;2; ;2712;102,325974101822;010150000401;01015000040105306;010150000401053061;202404
1;10150;000401;053;07;1;1;2;2;1;1;1;1;2;4;3;0;1;1;1; ; ;1; ; ;1;2;1;2;5;250; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2712;102,325974101822;010150000401;01015000040105307;010150000401053071;202404
1;10150;000401;053;08;1;1;2;1;1;1;2;1;2;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;1;170;2;2;2;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2712;102,325974101822;010150000401;01015000040105308;010150000401053081;202404
1;10150;001101;038;01;1;1;1;2;2;1;2;1;2;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;1;150;1;1;2;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2713;438,821859331526;010150001101;01015000110103801;010150001101038011;202404
1;10150;001101;038;02;1;1;2;1;1;1;1;1;1;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;1;160;2;2;2;1;1;2; ;2; ;2; ;2; ;1;40;2; ;2; ;2713;438,821859331526;010150001101;01015000110103802;010150001101038021;202404
1;10150;001101;038;03;1;1;1;4;1;2;1;1;1;5;4;0;1;1;1; ; ;1; ; ;1;1;1;2;1;240;2;2;2;2; ;1;1;2; ;2; ;2; ;1;20;2; ;2; ;2713;438,821859331526;010150001101;01015000110103803;010150001101038031;202404
1;10150;001101;038;04;1;1;2;2;1;2;1;1;1;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;1;150;2;2;2;2; ;1;1;2; ;2; ;2; ;1;20;2; ;2; ;2713;438,821859331526;010150001101;01015000110103804;010150001101038041;202404
1;10150;001101;038;05;1;1;2;1;2;1;2;1;2;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;1;180;2;2;2;1;1;2; ;2; ;2; ;2; ;1;30;2; ;2; ;2713;438,821859331526;010150001101;01015000110103805;010150001101038051;202404
1;10150;001101;038;06;1;1;2;1;1;1;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;1;250;2;2;2;1;1;2; ;2; ;2; ;2; ;1;20;2; ;2; ;2713;438,821859331526;010150001101;01015000110103806;010150001101038061;202404
1;10150;001101;038;07;1;1;2;2;1;1;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;5;150; ; ; ;1;2;2; ;2; ;2; ;1;20;1;60;2; ;2; ;2713;438,821859331526;010150001101;01015000110103807;010150001101038071;202404
1;10150;001307;037;01;1;3;3;3;2;4;2;4;2;1;1;0;2;4;1; ; ;1; ; ;2;2;1;2;5;80; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2713;200,616156199855;010150001307;01015000130703701;010150001307037011;202404
1;10150;001307;037;02;1;1;1;2;1;1;1;1;1;6;5;0;1;1;1; ; ;1; ; ;1;1;1;2;4;250; ; ; ;1;1;2; ;2; ;2; ;2; ;1;60;2; ;2; ;2713;200,616156199855;010150001307;01015000130703702;010150001307037021;202404
1;10150;001307;037;03;1;1;1;4;2;4;2;3;2;3;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;200; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2713;200,616156199855;010150001307;01015000130703703;010150001307037031;202404
1;10150;001307;037;05;1;1;1;2;2;2;1;1;2;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;100; ; ; ;1;1;2; ;2; ;2; ;2; ;1;40;2; ;2; ;2713;200,616156199855;010150001307;01015000130703705;010150001307037051;202404
1;10150;001307;037;06;1;1;3;6;2;1;2;1;1;1;0;0;2;1;1; ; ;1; ; ;2;2;1;2;1;100;2;2;2;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2713;200,616156199855;010150001307;01015000130703706;010150001307037061;202404
1;10150;001307;037;07;1;3;5;3;3;7;3;7;3;1;0;0;2;1;5;2; ;7; ; ;4;3;1;2;1;20;2;1;2;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2713;200,616156199855;010150001307;01015000130703707;010150001307037071;202404
1;10150;001307;037;08;1;1;1;2;1;1;2;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;1;50;2;2;1;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2713;200,616156199855;010150001307;01015000130703708;010150001307037081;202404
1;10150;001701;038;01;1;1;1;2;1;1;1;1;1;5;4;0;1;1;1; ; ;1; ; ;1;1;1;2;1;320;2;2;2;1;1;2; ;2; ;2; ;2; ;1;80;2; ;2; ;2713;107,643157097977;010150001701;01015000170103801;010150001701038011;202404
1;10150;001701;038;02;1;4;1;2;1;2;1;1;1;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;5;100; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2713;107,643157097977;010150001701;01015000170103802;010150001701038021;202404
1;10150;001701;038;03;1;1;2;6;1;1;2;1;2;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;1;120;2;2;2;1;1;2; ;2; ;2; ;2; ;1;30;2; ;2; ;2713;107,643157097977;010150001701;01015000170103803;010150001701038031;202404
1;10150;001701;038;04;1;1;1;2;1;2;2;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;1;250;2;2;2;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2713;107,643157097977;010150001701;01015000170103804;010150001701038041;202404
1;10150;001701;038;05;1;1;1;1;1;2;1;1;1;6;4;0;1;1;1; ; ;1; ; ;1;1;1;2;4;300; ; ; ;1;1;2; ;2; ;2; ;2; ;1;100;2; ;2; ;2713;107,643157097977;010150001701;01015000170103805;010150001701038051;202404
1;10150;001701;038;06;1;1;1;4;1;1;1;1;1;5;3;0;1;3;1; ; ;1; ; ;1;1;1;2;4;350; ; ; ;1;2;2; ;2; ;2; ;2; ;1;160;2; ;2; ;2713;107,643157097977;010150001701;01015000170103806;010150001701038061;202404
1;10150;001701;038;07;1;1;1;4;2;1;2;3;1;5;4;0;1;1;1; ; ;1; ; ;1;1;1;2;4;300; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2713;107,643157097977;010150001701;01015000170103807;010150001701038071;202404
1;10150;003203;038;01;1;1;2;6;2;1;1;1;2;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;1;200;2;2;2;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2711;89,956422335791;010150003203;01015000320303801;010150003203038011;202404
1;10150;003203;038;02;1;1;2;4;2;2;2;1;1;5;3;0;1;1;1; ; ;1; ; ;1;1;1;2;1;350;2;2;2;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2711;89,956422335791;010150003203;01015000320303802;010150003203038021;202404
1;10150;003203;038;04;1;1;2;1;1;1;1;1;1;4;2;0;1;1;1; ; ;1; ; ;1;1;1;2;4;200; ; ; ;1;1;2; ;2; ;2; ;2; ;1;60;2; ;2; ;2711;89,956422335791;010150003203;01015000320303804;010150003203038041;202404
1;10150;003203;038;06;1;1;1;2;2;2;1;1;1;5;4;0;1;1;1; ; ;1; ; ;1;1;1;2;3;250; ; ; ;1;1;2; ;2; ;2; ;2; ;1;50;2; ;2; ;2711;89,956422335791;010150003203;01015000320303806;010150003203038061;202404
1;10150;003203;038;07;1;1;1;4;1;1;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;350; ; ; ;1;1;2; ;2; ;2; ;1;40;2; ;2; ;2; ;2711;89,956422335791;010150003203;01015000320303807;010150003203038071;202404
1;10150;003203;038;09;1;1;2;1;1;2;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;1;300;2;2;2;1;1;2; ;2; ;2; ;2; ;1;60;2; ;2; ;2711;89,956422335791;010150003203;01015000320303809;010150003203038091;202404
1;10150;004801;053;02;1;1;2;6;1;2;1;1;1;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;1;230;2;2;2;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2713;329,096170018638;010150004801;01015000480105302;010150004801053021;202404
1;10150;004801;053;03;1;1;2;1;1;1;1;1;1;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;1;240;1;1;2;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2713;329,096170018638;010150004801;01015000480105303;010150004801053031;202404
1;10150;004801;053;04;1;1;3;6;2;2;2;3;2;2;2;0;1;1;1; ; ;1; ; ;1;2;1;2;1;75;1;1;2;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2713;329,096170018638;010150004801;01015000480105304;010150004801053041;202404
1;10150;004801;053;05;1;1;3;3;1;1;1;3;1;1;1;0;1;1;1; ; ;1; ; ;1;2;1;2;1;120;1;1;2;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2713;329,096170018638;010150004801;01015000480105305;010150004801053051;202404
1;10150;004801;053;06;1;1;2;4;2;1;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;1;250;2;2;1;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2713;329,096170018638;010150004801;01015000480105306;010150004801053061;202404
1;10150;004801;053;07;1;1;3;3;2;1;2;3;2;2;1;0;1;1;1; ; ;1; ; ;1;2;1;2;1;130;1;1;2;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2713;329,096170018638;010150004801;01015000480105307;010150004801053071;202404
1;10150;004801;053;08;1;1;3;6;1;2;1;3;1;1;1;0;1;1;1; ; ;1; ; ;1;1;1;2;1;130;2;2;2;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2713;329,096170018638;010150004801;01015000480105308;010150004801053081;202404
1;10150;006202;037;01;1;1;2;1;1;2;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;200; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2711;69,9713348751286;010150006202;01015000620203701;010150006202037011;202404
1;10150;006202;037;02;1;1;2;2;3;2;1;1;2;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;1;125;1;1;2;1;1;1;1;2; ;2; ;2; ;1;50;1;3;2; ;2711;69,9713348751286;010150006202;01015000620203702;010150006202037021;202404
1;10150;006202;037;03;1;1;1;2;2;1;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;400; ; ; ;1;1;2; ;1;60;2; ;2; ;2; ;2; ;2; ;2711;69,9713348751286;010150006202;01015000620203703;010150006202037031;202404
1;10150;006202;037;04;1;1;2;2;2;4;2;3;2;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;1;160;2;2;2;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2711;69,9713348751286;010150006202;01015000620203704;010150006202037041;202404
1;10150;006202;037;05;1;1;2;1;1;1;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;300; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2711;69,9713348751286;010150006202;01015000620203705;010150006202037051;202404
1;10150;006202;037;06;1;1;1;2;1;2;1;1;1;4;2;0;1;1;1; ; ;1; ; ;1;1;1;2;3;340; ; ; ;1;1;2; ;2; ;2; ;1;30;2; ;2; ;2; ;2711;69,9713348751286;010150006202;01015000620203706;010150006202037061;202404
1;10150;006202;037;07;1;1;1;4;1;2;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;200; ; ; ;1;1;2; ;1;20;2; ;2; ;2; ;2; ;2; ;2711;69,9713348751286;010150006202;01015000620203707;010150006202037071;202404
1;10150;007701;054;02;1;1;1;4;1;2;1;1;1;5;4;0;1;1;1; ; ;1; ; ;1;1;1;2;5;350; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2711;98,8992117569648;010150007701;01015000770105402;010150007701054021;202404
1;10150;007701;054;05;1;1;1;4;1;1;1;1;1;5;4;0;1;1;1; ; ;1; ; ;1;1;1;2;4;500; ; ; ;1;1;2; ;2; ;2; ;2; ;1;70;2; ;2; ;2711;98,8992117569648;010150007701;01015000770105405;010150007701054051;202404
1;10150;007701;054;07;1;1;1;2;1;2;1;1;1;5;4;0;1;1;1; ; ;1; ; ;1;1;1;2;4;350; ; ; ;1;1;2; ;2; ;2; ;2; ;1;90;2; ;2; ;2711;98,8992117569648;010150007701;01015000770105407;010150007701054071;202404
1;10150;007701;054;08;1;1;1;2;1;1;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;400; ; ; ;1;1;2; ;2; ;2; ;2; ;1;70;2; ;2; ;2711;98,8992117569648;010150007701;01015000770105408;010150007701054081;202404
1;10150;007701;054;09;1;1;1;2;1;1;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;1;300;2;2;2;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2711;98,8992117569648;010150007701;01015000770105409;010150007701054091;202404
1;10150;007701;054;10;1;1;1;4;1;1;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;400; ; ; ;1;1;2; ;2; ;2; ;2; ;1;90;2; ;2; ;2711;98,8992117569648;010150007701;01015000770105410;010150007701054101;202404
1;10150;009303;038;01;1;1;1;2;2;1;3;1;2;5;4;0;1;1;1; ; ;1; ; ;1;1;1;2;4;250; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2712;31,2551363976634;010150009303;01015000930303801;010150009303038011;202404
1;10150;009303;038;02;1;1;1;2;2;1;1;1;1;5;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;200; ; ; ;1;1;2; ;2; ;2; ;2; ;1;60;2; ;2; ;2712;31,2551363976634;010150009303;01015000930303802;010150009303038021;202404
1;10150;009303;038;04;1;1;1;2;3;1;2;1;2;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;1;220;1;1;2;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2712;31,2551363976634;010150009303;01015000930303804;010150009303038041;202404
1;10150;009303;038;05;1;1;1;4;1;2;1;1;1;5;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;400; ; ; ;1;2;2; ;2; ;2; ;2; ;1;120;2; ;2; ;2712;31,2551363976634;010150009303;01015000930303805;010150009303038051;202404
1;10150;009303;038;07;1;1;1;4;1;2;2;1;1;6;4;0;1;1;1; ; ;1; ; ;1;1;1;2;4;380; ; ; ;1;2;2; ;2; ;2; ;1;20;1;60;2; ;2; ;2712;31,2551363976634;010150009303;01015000930303807;010150009303038071;202404
1;10150;009303;038;10;1;1;1;2;2;2;2;1;2;5;4;0;1;1;1; ; ;1; ; ;1;1;1;2;3;250; ; ; ;1;1;2; ;2; ;2; ;2; ;1;60;2; ;2; ;2712;31,2551363976634;010150009303;01015000930303810;010150009303038101;202404
1;10150;011402;037;01;1;1;1;4;2;1;2;1;2;5;4;0;1;1;1; ; ;1; ; ;1;1;1;2;4;300; ; ; ;1;2;2; ;2; ;2; ;2; ;1;40;2; ;2; ;2712;242,022915030486;010150011402;01015001140203701;010150011402037011;202404
1;10150;011402;037;02;1;1;1;4;2;1;2;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;250; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2712;242,022915030486;010150011402;01015001140203702;010150011402037021;202404
1;10150;011402;037;03;1;1;1;2;1;1;1;1;1;4;2;0;1;1;1; ; ;1; ; ;1;1;1;2;4;250; ; ; ;1;1;1;1;2; ;2; ;2; ;1;20;2; ;2; ;2712;242,022915030486;010150011402;01015001140203703;010150011402037031;202404
1;10150;011402;037;04;1;1;2;6;1;1;3;1;1;2;1;1;1;1;1; ; ;1; ; ;1;1;1;2;1;300;1;1;1;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2712;242,022915030486;010150011402;01015001140203704;010150011402037041;202404
1;10150;011402;037;05;1;1;2;6;1;1;2;1;2;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;1;180;2;2;2;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2712;242,022915030486;010150011402;01015001140203705;010150011402037051;202404
1;10150;011402;037;06;1;1;2;1;1;1;1;1;1;5;3;0;1;1;1; ; ;1; ; ;1;1;1;2;1;150;2;2;1;1;1;2; ;2; ;2; ;2; ;1;120;2; ;2; ;2712;242,022915030486;010150011402;01015001140203706;010150011402037061;202404
1;10150;011402;037;07;1;1;1;4;1;1;1;1;1;5;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;500; ; ; ;1;2;2; ;2; ;2; ;1;100;1;100;2; ;2; ;2712;242,022915030486;010150011402;01015001140203707;010150011402037071;202404
1;10150;011403;038;01;1;1;2;6;1;1;1;1;1;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;1;190;1;1;2;2; ;1;1;2; ;2; ;2; ;1;15;2; ;2; ;2712;335,453203759595;010150011403;01015001140303801;010150011403038011;202404
1;10150;011403;038;02;1;1;1;4;1;2;1;1;1;5;3;0;1;1;1; ; ;1; ; ;1;1;1;2;1;280;2;2;2;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2712;335,453203759595;010150011403;01015001140303802;010150011403038021;202404
1;10150;011403;038;03;1;1;1;2;1;1;1;1;1;5;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;300; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2712;335,453203759595;010150011403;01015001140303803;010150011403038031;202404
1;10150;011403;038;04;1;1;1;2;1;1;1;1;1;5;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;350; ; ; ;1;2;2; ;2; ;2; ;2; ;1;75;2; ;2; ;2712;335,453203759595;010150011403;01015001140303804;010150011403038041;202404
1;10150;011403;038;05;1;1;1;4;1;2;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;300; ; ; ;1;1;2; ;2; ;2; ;2; ;1;30;2; ;2; ;2712;335,453203759595;010150011403;01015001140303805;010150011403038051;202404
1;10150;011403;038;06;1;1;1;2;2;2;2;1;2;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;200; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2712;335,453203759595;010150011403;01015001140303806;010150011403038061;202404
1;10150;011403;038;07;1;1;1;2;1;1;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;200; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2712;335,453203759595;010150011403;01015001140303807;010150011403038071;202404
1;10150;011501;037;01;1;1;1;2;1;2;3;1;2;5;3;0;1;1;1; ; ;1; ; ;1;1;1;2;3;200; ; ; ;1;1;2; ;2; ;2; ;2; ;1;60;2; ;2; ;2711;110,509973191165;010150011501;01015001150103701;010150011501037011;202404
1;10150;011501;037;02;1;1;1;4;3;2;1;1;1;5;4;0;1;1;1; ; ;1; ; ;1;1;1;2;1;350;2;2;2;1;2;2; ;2; ;2; ;2; ;1;80;2; ;2; ;2711;110,509973191165;010150011501;01015001150103702;010150011501037021;202404
1;10150;011501;037;03;1;1;1;2;2;2;2;1;2;5;3;0;1;1;1; ; ;1; ; ;1;1;1;2;1;200;2;2;1;1;1;2; ;2; ;2; ;2; ;1;80;2; ;2; ;2711;110,509973191165;010150011501;01015001150103703;010150011501037031;202404
1;10150;011501;037;04;1;1;1;4;1;2;1;1;1;7;3;0;1;1;1; ; ;1; ; ;1;1;1;2;5;350; ; ; ;1;1;2; ;2; ;2; ;2; ;1;30;2; ;2; ;2711;110,509973191165;010150011501;01015001150103704;010150011501037041;202404
1;10150;011501;037;05;1;1;1;2;1;1;2;1;1;6;4;0;1;1;1; ; ;1; ; ;1;1;1;2;3;400; ; ; ;1;1;1;1;2; ;2; ;2; ;1;80;2; ;2; ;2711;110,509973191165;010150011501;01015001150103705;010150011501037051;202404
1;10150;011501;037;06;1;1;1;2;2;2;2;1;2;5;3;0;1;1;1; ; ;1; ; ;1;1;1;2;3;250; ; ; ;1;1;2; ;2; ;2; ;2; ;1;60;2; ;2; ;2711;110,509973191165;010150011501;01015001150103706;010150011501037061;202404
1;10150;011501;037;07;1;1;1;4;1;2;1;1;1;5;3;0;1;1;1; ; ;1; ; ;1;1;1;2;3;250; ; ; ;1;1;2; ;2; ;2; ;2; ;1;50;2; ;2; ;2711;110,509973191165;010150011501;01015001150103707;010150011501037071;202404
1;10150;014702;037;01;1;1;1;4;1;1;1;3;1;6;5;0;1;1;1; ; ;1; ; ;1;1;1;2;5;350; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2713;51,3977229351727;010150014702;01015001470203701;010150014702037011;202404
1;10150;014702;037;02;1;1;2;4;1;1;1;1;1;4;2;0;1;1;1; ; ;1; ; ;1;1;1;2;4;300; ; ; ;1;1;2; ;2; ;2; ;2; ;1;90;2; ;2; ;2713;51,3977229351727;010150014702;01015001470203702;010150014702037021;202404
1;10150;014702;037;03;1;1;2;1;1;1;1;1;1;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;1;230;2;2;2;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2713;51,3977229351727;010150014702;01015001470203703;010150014702037031;202404
1;10150;014702;037;04;1;1;2;1;1;1;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;5;350; ; ; ;1;1;2; ;2; ;2; ;2; ;1;90;2; ;2; ;2713;51,3977229351727;010150014702;01015001470203704;010150014702037041;202404
1;10150;014702;037;05;1;1;2;2;1;1;1;3;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;300; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2713;51,3977229351727;010150014702;01015001470203705;010150014702037051;202404
1;10150;014702;037;06;1;1;2;4;1;1;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;1;230;2;2;2;1;1;2; ;2; ;2; ;2; ;1;70;2; ;2; ;2713;51,3977229351727;010150014702;01015001470203706;010150014702037061;202404
1;10150;014702;037;07;1;1;2;4;1;1;1;1;1;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;5;180; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2713;51,3977229351727;010150014702;01015001470203707;010150014702037071;202404
1;10150;016701;054;01;1;1;2;1;1;2;1;1;1;1;1;0;1;1;1; ; ;1; ; ;1;1;1;2;5;180; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2713;141,848164842757;010150016701;01015001670105401;010150016701054011;202404
1;10150;016701;054;02;1;1;1;2;2;4;1;1;2;5;4;0;1;1;1; ; ;1; ; ;1;1;1;2;3;300; ; ; ;1;1;1;1;2; ;2; ;2; ;1;60;2; ;2; ;2713;141,848164842757;010150016701;01015001670105402;010150016701054021;202404
1;10150;016701;054;03;1;1;2;2;1;1;1;1;1;2;1;0;1;1;1; ; ;1; ; ;1;1;1;2;1;150;1;1;2;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2713;141,848164842757;010150016701;01015001670105403;010150016701054031;202404
1;10150;016701;054;06;1;1;1;2;2;2;2;1;2;5;4;0;1;1;1; ; ;1; ; ;1;1;1;2;5;250; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2713;141,848164842757;010150016701;01015001670105406;010150016701054061;202404
1;10150;016701;054;07;1;1;1;4;1;1;1;1;1;4;2;0;1;1;1; ; ;1; ; ;1;1;1;2;4;400; ; ; ;1;2;2; ;2; ;2; ;1;40;1;30;2; ;2; ;2713;141,848164842757;010150016701;01015001670105407;010150016701054071;202404
1;10150;016701;054;08;1;1;1;4;1;2;1;1;1;5;4;0;1;1;1; ; ;1; ; ;1;1;1;2;5;300; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2713;141,848164842757;010150016701;01015001670105408;010150016701054081;202404
1;10150;016701;054;09;1;1;2;1;1;1;1;1;1;1;0;0;2;1;1; ; ;1; ; ;1;1;1;2;1;125;1;1;2;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2713;141,848164842757;010150016701;01015001670105409;010150016701054091;202404
1;10150;017001;038;01;1;1;1;2;3;2;1;1;2;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;4;200; ; ; ;1;1;2; ;2; ;2; ;2; ;1;40;2; ;2; ;2711;64,3518199468938;010150017001;01015001700103801;010150017001038011;202404
1;10150;017001;038;02;1;1;1;2;2;4;2;1;2;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;1;200;2;2;2;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2711;64,3518199468938;010150017001;01015001700103802;010150017001038021;202404
1;10150;017001;038;03;1;1;2;4;1;1;1;1;1;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;4;200; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2711;64,3518199468938;010150017001;01015001700103803;010150017001038031;202404
1;10150;017001;038;04;1;1;2;1;1;2;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;5;200; ; ; ;1;3;1;1;2; ;2; ;2; ;1;100;2; ;2; ;2711;64,3518199468938;010150017001;01015001700103804;010150017001038041;202404
1;10150;017001;038;05;1;1;2;1;1;2;1;1;1;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;1;150;2;2;1;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2711;64,3518199468938;010150017001;01015001700103805;010150017001038051;202404
1;10150;017001;038;06;1;1;1;2;1;1;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;3;400; ; ; ;1;1;2; ;2; ;2; ;2; ;1;40;2; ;2; ;2711;64,3518199468938;010150017001;01015001700103806;010150017001038061;202404
